item_name,price,rated_count,old_price,rated,discount %
Men’s Wristwatch + Wallet + Face Cap For Men,"₦ 7,339",2,"₦ 9,000",4.5,18%
BUSINESS MENS WRISTWATCH + CAP + WALLET,"₦ 8,324",4,"₦ 10,000",3.8,17%
2.09 Smart Watch Full Touch Screen - Business Gold Steelbelt,"₦ 20,900",7,"₦ 25,700",4.4,19%
Business Mens Wristwatch With Leather Bracelets Black,"₦ 9,757",5,"₦ 15,891",4,39%
Women Leather Band  Quartz Wrist Watch,"₦ 2,720",87,"₦ 4,507",3.6,40%
Quartz Fashion Men’s Wristwatch+ Leather Wallet +cap,"₦ 8,999",78,"₦ 18,000",3.9,50%
COUPLE NON FADED LUXURY LOOK WORLD WRISTWATCH WATERPROOF,"₦ 19,424",13,"₦ 27,000",4.6,28%
Pin Time Luxurious Deluxe Magnificent Set Of Top WristWatch + Iced Necklace & Bracelet For Luxury Men/Women,"₦ 29,990",9,"₦ 30,000",4.1,1%
2024 SmartWatch Series7 Custom Dial Men Women Heart Rate Monitor Sport Smart Watch,"₦ 22,419",8,"₦ 47,698",4.3,53%
Color Buckle TPU Wrist Strap For Fitbit Charge 4 / Charge 3,"₦ 4,920",6,"₦ 7,028",4.3,30%
BUSINESS MENS WRISTWATCH LEATHER,"₦ 7,399",7,"₦ 10,000",3.9,26%
Rugged Quality & Highly Mechanical Non Fading Wristwatch + Wrist Set For Classy Men,"₦ 20,599",11,"₦ 30,000",4.4,31%
For Samsung Galaxy Fit 2 Silicone Watch Band(Black),"₦ 2,820",40,"₦ 3,870",4.4,27%
Forecast ICE-Out Bling Diamond  Silver Stainless Steel WristWatch + Necklace & Bracelet,"₦ 30,500",3,"₦ 50,000",4,39%
GT4 Pro Smartwatch 1.6“ 360*360 Wireless Charging NFC Business Watch 380 Large Battery,"₦ 44,554",10,"₦ 72,576",4.1,39%
Gold Wrist Watch,"₦ 15,414",166,"₦ 16,800",4.3,8%
Classic Quality Non  Rusting Leather  Wristwatch + Bracelet Set,"₦ 17,891",5,"₦ 30,000",4.4,40%
Skmei Digital Multi-Color LED Silicone Strap Sport Watch - Black,"₦ 15,500",63,"₦ 19,500",4.5,21%
2.09 Smart Watch Full Touch Screen - Sports Silicone Belt,"₦ 15,500",3,"₦ 24,143",3,36%
Men Studded Iced Wristwatch Gold With Cuban Link Chain,"₦ 9,405",1,"₦ 17,800",5,47%
2024 Stainless Steel Smart Watch Ultra S9 Bluetooth Call NFC Wireless Charging GPS Waterproof Business Men Smartwatch For Apple IOS,"₦ 28,499",7,"₦ 76,496",3.9,63%
Top Italian Leather Super Quality Stone Wrist Watch For Top Guys +Free Bracelet,"₦ 24,176",7,"₦ 30,000",4.1,19%
Men Fashion Wristwatch - Gold,"₦ 12,000",290,"₦ 15,000",4.3,20%
Men Fashion Wristwatch - Black,"₦ 12,000",55,"₦ 15,000",4.3,20%
2.09 Smart Watch Full Touch Screen - Health Check Gold,"₦ 14,900",,"₦ 22,843",,35%
"Keep Moving Top Selling Iced Studded Collection Of Solid WristWatch + Necklace,Rings & Bracelet For Big Boys","₦ 27,497",6,"₦ 30,000",4.3,8%
GPS Smart Watch Women Blood Glucose Body Temperature BT Call NFC AOD Fitness Men Series 8 Smartwatch For Apple Android,"₦ 36,624",3,"₦ 77,104",3,53%
Smart Watch Men Answer Call 1.85 NFC Wireless Charging Sport Tracker Women Smartwatch,"₦ 22,657",1,"₦ 47,698",5,53%
VERY ICY! ICE-BOX Studded Chain Watch + Sophisticated ICY Armlet For Boss,"₦ 27,800",10,"₦ 50,000",4,44%
Quartz Fashion Men’s Wristwatch+ Leather Wallet +cap,"₦ 8,999",78,"₦ 18,000",3.9,50%
GT4 Pro Smartwatch 1.6“ 360*360 Wireless Charging NFC Business Watch 380 Large Battery,"₦ 44,442",2,"₦ 79,968",4.5,44%
Nepic High Quality Sophisticated Non Fading  Gold Chain Wristwatch + Bracelet,"₦ 18,999",14,"₦ 30,000",3.4,37%
LUXURY SOPHISTICATED MENS WRISTWATCH,"₦ 11,999",10,"₦ 15,000",4.7,20%
T55 SMART WATCH T55 Pro Max Smart Wrist Watch For IPhone Apple & Android,"₦ 26,000",12,"₦ 30,000",4.1,13%
For Samsung Galaxy Fit 2 Silicone Watchband,"₦ 2,260",22,"₦ 3,360",4.3,33%
Tervis Very Beautiful & Excellent Finely Detailed Couples Wrist Watch + Very Classic Couples Bracelets,"₦ 36,999",2,"₦ 90,000",5,59%
Men Classy Silicon Watch,"₦ 5,540",7,"₦ 5,990",3.4,8%
Men Fashion Wristwatch - Gold,"₦ 12,000",290,"₦ 15,000",4.3,20%
Skmei Digital Multi-Color LED Silicone Strap Sport Watch - Black,"₦ 15,500",63,"₦ 19,500",4.5,21%
Quartz Men Fashion Watch Calendar Sports,"₦ 7,290",3,"₦ 13,260",3.3,45%
2024 New Blood Lipids Uric Acid Blood Glucose Smart Watch Men ECG+PPG,"₦ 70,160",,"₦ 147,706",,53%
GPS Smart Watch Women Blood Glucose Body Temperature BT Call NFC AOD Fitness Men Series 8 Smartwatch For Apple Android,"₦ 44,649",2,"₦ 76,508",5,42%
Smart Watch Series8 Men Women Bluetooth Call Wireless Charging Custom Dial Smartwatch Support NFC Siri,"₦ 43,699",3,"₦ 105,862",4.7,59%
Fitness Watches Ip68 Waterproof Military Healthy Monitor AI Voice Bluetooth Call Smartwatch 2023,"₦ 49,976",,"₦ 105,212",,53%
Pin Time Luxurious Deluxe Magnificent Set Of Top WristWatch + Iced Necklace & Bracelet For Luxury Men/Women,"₦ 29,990",9,"₦ 30,000",4.1,1%
Ultra 8  1:1 49mm Case Smartwatch Fitness Smart Watch Heart Rate Series8 For Apple IOS Android,"₦ 14,819",6,"₦ 31,198",4,53%
Classic  FASHION  DIGITAL MENS WRISTWATCH WATERPROOF SPORT WATCH,"₦ 4,999",2,"₦ 9,000",5,44%
Long Lasting Gold WristWatch + Iced Cuban Hand Chain & Boss Necklaces  For Tycoons,"₦ 14,469",34,"₦ 15,900",3.9,9%
Sophisticated Iced Out Luxury Timepiece Wrist Watch + 2 Super Studded Necklaces + Bracelet & Ring,"₦ 29,999",2,"₦ 40,000",5,25%
O.T.SEA Top Quality Military Quartz OTSEA Watch + LED Watch (2 In 1),"₦ 9,870",19,"₦ 19,900",4,50%
NEPIC ANALOG MEN WRISTWATCH,"₦ 11,999",,"₦ 15,000",,20%
SILICONE LED DIGITAL SPORTS ELECTRONICS WRISTWATCH - UNISEX 0013,"₦ 1,849",381,"₦ 2,500",3.3,26%
2 In 1 Digital Led Wrist Watch For Boys And Girls,"₦ 3,500",1,"₦ 5,000",5,30%
UNISEX DIGITAL LED ELECTRONIC FASHION WRISTWATCH,"₦ 3,999",2,"₦ 9,000",4,56%
Pin Time Very Rugged & Solid Sophisticated Iced Studded WristWatch For Mens +Stone Studded Bracelet,"₦ 29,650",2,"₦ 30,000",5,1%
Color - Screen Smart Watch Heart Rate Sport Bracelet,"₦ 5,064",17,"₦ 6,077",3.1,17%
Lookworld Quality Sophisticated Non Fading Chronograph Leather Wristwatch,"₦ 22,999",,"₦ 30,000",,23%
5-pcs Women Butterfly Digital Belt Watch Set,"₦ 7,245",4,,2.8,
Men’s Wristwatch + Wallet + Face Cap For Men,"₦ 7,339",2,"₦ 9,000",4.5,18%
Geneva LED Luminous Men's Wristwatch,"₦ 5,499",3,"₦ 9,000",3,39%
3 UNISEX DIGITAL LED ELECTRONIC FASHION WRISTWATCH,"₦ 4,999",3,"₦ 7,000",1.3,29%
Paris Quality & Highly Stylish Pure Steel Silver Wristwatch + 2 Bracelets,"₦ 27,520",10,"₦ 300,000",4.1,91%
Skmei Quality Non Fading/Non Rusting BrownLeather Wristwatch + Bracelet,"₦ 33,855",9,"₦ 50,000",3.9,32%
Forecast ICE-Out Bling Diamond  Silver Stainless Steel WristWatch + Necklace & Bracelet,"₦ 30,500",3,"₦ 50,000",4,39%
2 Piece Children Cartoon  Wristwatch For Boys And Girls,"₦ 4,500",14,"₦ 5,000",4.4,10%
Nepic Modern Luxury Black Leather Wrist Watch For Men By NelPicter,"₦ 10,156",298,"₦ 32,000",4.2,68%
V8 Wrist Watches Men's Sport Waterproof Quartz Watch- Black,"₦ 4,589",150,"₦ 7,810",3.6,41%
Keep Moving Quality Fashionable Non Fading/Non Rusting Silver Chain Wristwatch For Couple,"₦ 24,500",,"₦ 40,000",,39%
Lookworld Men Sleek Timepiece Brown Leather Analogue Watch Working Calendar- World,"₦ 9,110",126,"₦ 48,790",4.3,81%
