name,price,old_price,rating,shipped
(Red)Men Stylish Backpack USB Charging School Backpack 15.6 Inch Laptop Backpack Male Book Bag BAA,"₦ 34,410","₦ 43,013",20%,Shipped from abroad
Balida Womens Fashion Backpack School Bag Handbag Bag Peach,"₦ 25,500","₦ 28,000",9%,
Type 25 Tree Of Life With Trique Brown Crossbody Chest Bag Men Casual for Hiking Cross Chest Bag Viking Norse Diagonally,"₦ 52,338","₦ 90,180",42%,Shipped from abroad
 Ladies Canvas Vintage Girl Leisure Drawstring Book Bag Female Brown Laptop College Backpack Women vel School Bag  Cool,"₦ 52,371","₦ 90,180",42%,Shipped from abroad
Ladies Hand Bag Tote Bag PU Leather Shoulder Bag Chain Crossbody Bag For Women,"₦ 11,374","₦ 20,358",44%,Shipped from abroad
 Women Backpack Large Capacity Real  Leather Backpacks Double Shoulder Bag Ladies vel Bags Daily Bagpack,"₦ 134,936","₦ 232,130",42%,Shipped from abroad
(Small Pink)Backpack Waterproof Transparent School Bag Girl Large Capacity Backpack Solid Clea BAA,"₦ 34,669","₦ 43,336",20%,Shipped from abroad
Ladies High Capacity Backpack Canvas School Bag For Girls Women Backpacks Black,"₦ 10,740","₦ 18,228",41%,Shipped from abroad
Men's Casual Backpack With USB Charging Port Anti-Theft Hard,"₦ 40,057","₦ 48,429",17%,Shipped from abroad
Ladies Portable Mini Hand Bag Leather Crossbody Bag,"₦ 11,608","₦ 14,893",22%,Shipped from abroad
Classic Macbook Pu Leather Bag/Business Briefcase/Office Bag,"₦ 24,697","₦ 33,400",26%,
grey  no expand 2023 40LExpandable USB vel Backpack  Flight Approved Carry on Bags for  Water Resistant ble 17 inch backpack men,"₦ 87,541","₦ 150,300",42%,Shipped from abroad
 Lady High Capacity Backpack Simplicity Women’s Laptop School Bags Cute Girl vel Bags Multifunctional Shoulder Bag,"₦ 60,254","₦ 103,540",42%,Shipped from abroad
Ladies Backpack Bag Small Leather Bags For Girls Women Red,"₦ 7,572","₦ 10,392",27%,Shipped from abroad
NEW Casual Shoulder Sports Sling Chest Bag Crossbody-BLACK,"₦ 3,538","₦ 5,000",29%,
BTS youth group with the same paragraph casual Oxford cloth backpack school bag college students color pack,"₦ 563,355","₦ 939,006",40%,Shipped from abroad
Defacto Woman Casual Bag  Black,"₦ 36,167","₦ 68,715",47%,Shipped from abroad
(large)Shoulder Bag Men Leather Casual Multifunctional Vertical Casual Messenger Bag Male Trendy Th,"₦ 111,151","₦ 138,939",20%,Shipped from abroad
Women Backpack Female's Canvas School Bags Travel Bag,"₦ 29,364","₦ 48,165",39%,Shipped from abroad
Capoverso Women Genuine Leather Clutch Chain Tote Purse Small Messenger - White,"₦ 19,900","₦ 55,000",64%,
f-chess14zm Chess Player Game Print Backpack for Teenager Cute Chess Children School Bag Checkmate Rucksack Daypack Laptop Backpack Bookbag,"₦ 58,584","₦ 100,200",42%,Shipped from abroad
(B)China Yunnan Ethnic Embroidery Backpack Retro Floral Embroidered Ladies Rucksack Embroidere BAA,"₦ 57,606","₦ 65,978",13%,Shipped from abroad
Baby Diaper Bag Backpack Mommy Pregnant Bag Large Capacity Baby Diaper Package vel Backpack Mom feeding Stroller Bag,"₦ 76,770","₦ 131,930",42%,Shipped from abroad
Canvas-Drawstring Backpack Tote Simple Style String Bag,"₦ 12,653","₦ 24,480",48%,Shipped from abroad
Men's Casual Backpack With USB Charging Port Anti-Theft Hard,"₦ 40,057","₦ 48,429",17%,Shipped from abroad
Jansport Main Campus Backpack - Pastel Lilac,"₦ 32,500",,,
Jansport Metro Sling Pack - Black,"₦ 14,300",,,
Ladies Backpack Bag Small Leather Bags For Girls Women Gray,"₦ 10,755","₦ 17,243",38%,Shipped from abroad
Defacto Woman Casual Bag - Black,"₦ 7,237","₦ 22,655",68%,
Jansport Half Pint Mini Backpack - 8 Bit Floral,"₦ 10,200",,,
USB Charging Backpacks Set Shoulder Bags,"₦ 11,969","₦ 20,222",41%,
Ladies Backpack Bag Small Leather Bags For Girls Women Pink,"₦ 10,224","₦ 13,943",27%,Shipped from abroad
Defacto Woman Casual Bag - Pink,"₦ 10,243","₦ 31,628",68%,
Ladies Backpack Bag Small Leather Bags For Girls Women Black,"₦ 11,560","₦ 18,129",36%,Shipped from abroad
Ladies Backpack Bag Small Leather Bags For Girls Women Pink,"₦ 11,560","₦ 18,129",36%,
Defacto Woman Casual Bag - Orange,"₦ 11,322","₦ 23,184",51%,
Defacto Woman Casual Bag - Karma,"₦ 10,622","₦ 31,628",66%,
Women's Fashion Shoulder Bag Crossbody Bag,"₦ 5,990","₦ 9,980",40%,
Defacto Woman Casual Bag - Pink,"₦ 10,900","₦ 30,500",64%,
Ladies Backpack Bag Small Leather Bags For Girls Women Red,"₦ 10,224","₦ 13,943",27%,
Defacto Woman BackPack -Black,"₦ 8,510","₦ 27,667",69%,
Women's PU Leather Shoulder Mini Small Backpack,"₦ 11,999","₦ 14,999 - ₦ 16,999",29%,Shipped from abroad
Ladies Backpack Bag Small Leather Bags For Girls Women White,"₦ 11,512","₦ 18,129",36%,Shipped from abroad
Ladies Comfortable Polyester Casual Backpack Bag,"₦ 28,950",,,
EILIFINTE B09 Unisex Outdoor Waist Pack Chest Bag-Grey&Red,"₦ 1,838","₦ 8,800",79%,
Folding Travel Bag Waterproof Bags Handbags,"₦ 3,990","₦ 6,330",37%,
Women Bags Ladies Bags Handbags Purse Sling Bags,"₦ 5,814","₦ 9,999",42%,
Unisex Messenger Crossbody Chest Bag,"₦ 2,312","₦ 3,250",29%,
Ladies Tote Bag Knitted Fabric Women Handbag - Black,"₦ 5,999","₦ 9,000",33%,
EILIFINTE B07 Anti Theft Business Laptop Backpack-Black&Grey,"₦ 8,480","₦ 13,800",39%,
Mythco Set 5 Backpack Bags For Student Pencil Case Tote Canvas,"₦ 10,920","₦ 24,000",55%,
Ladies Tote Bag Knitted Fabric Women Handbag - Coffee Brown,"₦ 5,459","₦ 9,000",39%,
Women Shopping Bag Casual Shoulder Bag Canvas Bag Handbag,"₦ 4,565","₦ 7,824",42%,
Ladies Canvas Tote Bag Cotton Shopping Bags,"₦ 3,053","₦ 8,800",65%,
NEW Casual Shoulder Sports Sling Chest Bag Crossbody-BLACK,"₦ 3,538","₦ 5,000",29%,
